,MSE,SSIM,RECON,DOD_LOSS
71,0.016677462701302243,0.21860281553338556,0.21860281553338556,525082233751.76514
72,0.01659620049245217,0.21752571270746343,0.21752571270746343,366208199286.37915
73,0.016579136731760466,0.21684166000169866,0.21684166000169866,7425534603458.165
74,0.01653201154241448,0.21614505525897532,0.21614505525897532,4914219317057.7295
75,0.01650820827275953,0.21605748201117797,0.21605748201117797,144727299582.70056
76,0.016514540191137177,0.21579593157067017,0.21579593157067017,1342014656795.7927
77,0.016458453809130278,0.2151840973426314,0.2151840973426314,5678401800396.161
78,0.016493030070491573,0.2158996392698849,0.2158996392698849,5747719271545.204
79,0.01647092223249595,0.21541093465159922,0.21541093465159922,4774905689464.25
80,0.016424519728923982,0.21478748935110428,0.21478748935110428,1407972561645.589
81,0.01641532747239313,0.21429540436057484,0.21429540436057484,153449237116605.34
82,0.01633208405281253,0.2135114187703413,0.2135114187703413,45506839120243.68
83,0.016347506302682793,0.21344326655654347,0.21344326655654347,1129395951120.6995
84,0.016326138523735982,0.21330331660368862,0.21330331660368862,7185314587679.509
85,0.01631512711345054,0.2128414502915214,0.2128414502915214,27375904046741.78
86,0.016312394585624775,0.2128167161170174,0.2128167161170174,939718914227.9083
87,0.016289597555228016,0.21260249483234742,0.21260249483234742,4232726679001.0513
88,0.016260307960157448,0.21229888323475332,0.21229888323475332,9550570667640.328
89,0.016257228726959404,0.21195265431614482,0.21195265431614482,5123426336534.782
90,0.016275110277895105,0.21199466726359198,0.21199466726359198,11390394281506.674
91,0.01620734205661232,0.21144896175931482,0.21144896175931482,6813489392819.997
92,0.016244588378707275,0.2117201475536122,0.2117201475536122,10337557814793.549
93,0.016194606973680064,0.21112633408869014,0.21112633408869014,457411663504410.9
94,0.0161632493357448,0.21117628102793412,0.21117628102793412,85568907317478.94
95,0.01615364773555056,0.21081755354123957,0.21081755354123957,9259538281345.64
96,0.016105349209871802,0.20983294879688935,0.20983294879688935,10833109716975.46
97,0.016108008512460133,0.21030939721009312,0.21030939721009312,23213282007284.85
98,0.016097957138246036,0.20977770887753544,0.20977770887753544,3410755216825.505
99,0.01604029044563718,0.20913807521848118,0.20913807521848118,19483071757521.44
100,0.016016015495337984,0.20881043768980923,0.20881043768980923,45506233362902.09
101,0.016071276821415213,0.20940646178582134,0.20940646178582134,23130554814020.977
102,0.016043152797090655,0.2086803799166399,0.2086803799166399,8538618175112.305
103,0.015981776002958855,0.20790773498661377,0.20790773498661377,4125008178635.6914
104,0.01596197606447865,0.20790256910464344,0.20790256910464344,9859294080128.525
105,0.015999917618875557,0.20804082689916387,0.20804082689916387,358665522323096.7
106,0.01599400499424733,0.20811913381604588,0.20811913381604588,18637695795147.19
107,0.015971957069054684,0.20749781149275162,0.20749781149275162,53092625993355.96
108,0.01596092666937586,0.2072430612409816,0.2072430612409816,16956678094907.28
109,0.015907650327255184,0.20659994158674688,0.20659994158674688,15695350460165.703
110,0.015946893425493994,0.20728829371578553,0.20728829371578553,221342036698895.56
111,0.015894641209503308,0.20634940661051693,0.20634940661051693,11188387006113.209
112,0.015916079741573948,0.20690626037471435,0.20690626037471435,1864469501923.205
113,0.01586685633040307,0.20600376891739228,0.20600376891739228,1425002503594.4395
114,0.01583814440185533,0.20556609727003994,0.20556609727003994,8243917773229.055
115,0.015841508010292753,0.2057874115074382,0.2057874115074382,78785412039563.45
116,0.0158544591121266,0.20543705715852625,0.20543705715852625,97636537693044.8
117,0.015796005034216624,0.20513795447700164,0.20513795447700164,4351393505244.3086
118,0.015803772579495085,0.20480123907327652,0.20480123907327652,2504751531518905.5
119,0.015820061383933267,0.20517748462803223,0.20517748462803223,14255002007623.89
120,0.015791306785746095,0.20465630818815791,0.20465630818815791,6978780115795.665
121,0.015786056646474582,0.2045848251265638,0.2045848251265638,38806138941060.2
122,0.015752087949829942,0.20443260319092693,0.20443260319092693,8634702321229.662
123,0.015741810243686333,0.2037595685790567,0.2037595685790567,28608563378808.363
124,0.015728562611483914,0.20368539541959763,0.20368539541959763,29867420895178.996
125,0.01573216204997152,0.20375304932103439,0.20375304932103439,15533383403676.34
126,0.015704462345799104,0.20311740391394673,0.20311740391394673,216226972579470.25
127,0.01574062978547505,0.20403828077456532,0.20403828077456532,15723215648458.344
128,0.015643512658939204,0.20261745636954026,0.20261745636954026,9772062973777.713
129,0.015677155358442926,0.20292975665891871,0.20292975665891871,16890728513430.217
130,0.01565063979668433,0.20276224350228028,0.20276224350228028,88541898370034.92
131,0.015641363906016684,0.2024057687205427,0.2024057687205427,221995338449336.4
132,0.015638513093375984,0.20229963519993951,0.20229963519993951,23680913489765.387
133,0.015614630873588956,0.20189473515047746,0.20189473515047746,74609007895944.34
134,0.015611311605693224,0.20168285773080938,0.20168285773080938,636091311000047.0
135,0.015566806356860873,0.20123605298645356,0.20123605298645356,265393708409394.12
136,0.015603915925192483,0.20172844388905695,0.20172844388905695,449240670227328.94
137,0.015600110267234199,0.20140030673321554,0.20140030673321554,53078571554202.164
138,0.015575928729958832,0.20148152770364985,0.20148152770364985,927967056523365.1
139,0.015511901193188833,0.20039753572029226,0.20039753572029226,737936558887345.5
140,0.015513695283409427,0.2001449167728424,0.2001449167728424,84354900075437.89
141,0.015535736435969524,0.20050228781559887,0.20050228781559887,139550114221518.73
142,0.015541701878914061,0.200456902384758,0.200456902384758,536725299371951.5
143,0.015530973172965734,0.20034349885057,0.20034349885057,3105028626130019.0
144,0.015505542738965768,0.19983299996922999,0.19983299996922999,63365384596140.414
145,0.015505289747927557,0.1999356711612028,0.1999356711612028,267466865543123.28
146,0.015464748269604409,0.1997795210165136,0.1997795210165136,7865655724792167.0
147,0.015493199010105693,0.19974706234300837,0.19974706234300837,611185855939740.5
148,0.015476565287612817,0.19937810915357926,0.19937810915357926,855606511572085.0
149,0.015507703975719564,0.19967221775475671,0.19967221775475671,364141303059954.4
150,0.015458544613519573,0.19925843310706756,0.19925843310706756,122293106286499.58
151,0.015421461909735465,0.19861100877032561,0.19861100877032561,1529331678480892.8
152,0.015396792729220846,0.19838233379756703,0.19838233379756703,231542763446766.06
153,0.015411253696691026,0.19836075428654165,0.19836075428654165,73146228451706.62
154,0.015400670194888817,0.19823133901638143,0.19823133901638143,292445819962468.9
155,0.015382214510977706,0.19783007835640626,0.19783007835640626,1.3490039707126836e+16
156,0.015394797445932293,0.1980971395969391,0.1980971395969391,695349538063241.0
157,0.01538336873465382,0.19810709927011938,0.19810709927011938,950385220941000.0
158,0.015397683306432822,0.19778812939629836,0.19778812939629836,3.077391627516056e+16
159,0.015335462330018772,0.197165450629066,0.197165450629066,3967748791412924.5
160,0.01534169091952636,0.19716138567994623,0.19716138567994623,108341693965878.5
161,0.015353642712237643,0.19704651920234456,0.19704651920234456,860130293428084.9
162,0.01531857018605532,0.19670509546995163,0.19670509546995163,195409378039854.28
163,0.015339723048622118,0.19712055781308344,0.19712055781308344,1.0542031701178204e+16
164,0.015349527834640705,0.19693033484851613,0.19693033484851613,1903359462003670.0
165,0.015314094797598527,0.19667188647915335,0.19667188647915335,221798997449673.44
166,0.01531607806271709,0.1966307233361637,0.1966307233361637,678733927514119.6
167,0.015308089417350642,0.19641251116991043,0.19641251116991043,2042755477690577.5
168,0.015290313475655721,0.19621976158198187,0.19621976158198187,730183650711086.2
169,0.015261435230700848,0.19597823654904084,0.19597823654904084,916587789082635.5
170,0.015270452569786678,0.19585407569127924,0.19585407569127924,252061647686876.72
171,0.015301106826347463,0.19623803303522222,0.19623803303522222,519480700434284.1
172,0.015243302297997563,0.19546111979905298,0.19546111979905298,427135356787074.8
173,0.01524797615403419,0.19554117935545304,0.19554117935545304,171863988513021.34
174,0.015201634919161306,0.1950738193357692,0.1950738193357692,446102452702033.75
175,0.01521198237177861,0.19484566064441905,0.19484566064441905,434800504235457.44
176,0.015215173288358046,0.19492682288674748,0.19492682288674748,154711278166892.47
177,0.015219107763293912,0.19487592928549824,0.19487592928549824,1151026517422153.0
178,0.01519985988681369,0.19436375533833222,0.19436375533833222,1316129075505141.8
179,0.01522382688434685,0.1951695623643258,0.1951695623643258,2.491404106436533e+16
180,0.015193663784028852,0.1946194351595991,0.1946194351595991,6869499500429885.0
181,0.01517114496570738,0.194180210285327,0.194180210285327,2753962390250161.0
182,0.01515496676267289,0.1940670140525874,0.1940670140525874,5961749179626756.0
183,0.01514148512882564,0.19411160533919053,0.19411160533919053,129901706889856.64
184,0.015171913327375317,0.19378206484458027,0.19378206484458027,1357474504307857.2
185,0.015135513063903679,0.19348965146962335,0.19348965146962335,800641494843314.4
186,0.015168718904640307,0.19427891075611115,0.19427891075611115,8972660323513630.0
187,0.015128756928093293,0.19344577456221862,0.19344577456221862,1.5877818972888726e+16
188,0.01511357567163513,0.19317750939551523,0.19317750939551523,5.554839633389846e+16
189,0.01513441138462547,0.19356002351816962,0.19356002351816962,2.399859315407037e+16
190,0.015098863199134083,0.1931928277892225,0.1931928277892225,1676326080753735.0
191,0.01510904515025151,0.1929628962979597,0.1929628962979597,3875360847675542.0
192,0.015072274918887107,0.19282228674958735,0.19282228674958735,2.3101340069868976e+16
193,0.015041938044733423,0.1921337067204363,0.1921337067204363,1.0930898240833914e+17
194,0.015059464727528393,0.19229951851508198,0.19229951851508198,1483188389182594.5
195,0.015066420679966755,0.19256698208696701,0.19256698208696701,4.355907258400322e+17
196,0.015072079820503645,0.1923182768856778,0.1923182768856778,3216971851288758.0
197,0.015072594068067916,0.19249917259987662,0.19249917259987662,3.839328712421021e+16
198,0.015063051634249003,0.19235444770139806,0.19235444770139806,1.826748594693277e+16
199,0.015060631455579662,0.19226399327025695,0.19226399327025695,4.647128441068653e+16
